"date","statement","falsehood","analysis","category","keywords"
" Oct 19","Falsely said of the Trump Foundation, “The money goes 100 per cent — 100 per cent goes to different charities.”","Falsely described leaked Clinton emails","Reporting by the Washington Post’s David Fahrenthold and others shows Trump has used foundation money to settle a legal case and to donate to political groups.","Trump's record",""
" Sep 15","Falsely claimed he opposed the Iraq war","Said he ""opposed"" the Iraq War","Actually said at the time, “Yeah, I guess so. I wish the first time it was done correctly”","Trump's record",""
" Sep 16","Falsely claimed to have opposed the Iraq war","Said he ""opposed"" the Iraq War","Actually said at the time, “Yeah, I guess so. I wish the first time it was done correctly”","Trump's record",""
" Sep 16","Falsely claimed to have said “I don’t know” when asked by Howard Stern whether he supported the war","Said he ""opposed"" the Iraq War","Actually said, “Yeah, I guess so. I wish the first time it was done correctly”","Trump's record",""
" Sep 19","Falsely said, “I was against getting into the war in Iraq.”","Said he ""opposed"" the Iraq War","Actually said at the time, “Yeah, I guess so. I wish the first time it was done correctly”","Trump's record",""
" Sep 26","Falsely said, “Wrong, wrong” when Clinton said he supported the invasion of Iraq.","Said he ""opposed"" the Iraq War","He publicly supported the war; there is no evidence he changed his mind until after the war.","Trump's record",""
" Sep 26","Falsely said, “They did an article in a major magazine, shortly after the war started. I think in '04. But they did an article which had me totally against the war in Iraq.”","Said he ""opposed"" the Iraq War","The article, in Esquire, was not “shortly after the war started”— it was 17 months into the war.","Trump's record",""
" Sep 27","Falsely said, “I was against going into Iraq. And it’s so well-documented.”","Said he ""opposed"" the Iraq War","Trump supported the invasion. There is no documentation showing he opposed it.","Trump's record",""
" Oct 9","Falsely said, “I was against the war in Iraq. Has not been debunked.”","Said he ""opposed"" the Iraq War","Trump expressed only support for the war before the invasion. His claim has been repeatedly debunked.","Trump's record",""
" Oct 19","Falsely said “wrong” to Clinton’s correct claim that he supported the invasion of Iraq.","Said he ""opposed"" the Iraq War","His only pre-war public statements were supportive of the invasion.","Trump's record",""
" Sep 26","Falsely said “I did not. I did not” to Clinton’s charge that he thinks Climate change is a “hoax perpetrated by the Chinese.”","Said he did not say or do something he said or did","He wrote on Twitter in 2012: “The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.” In 2014, he tweeted, “Snowing in Texas and Louisiana, record setting freezing temperatures throughout the country and beyond. Global warming is an expensive hoax!”","Trump's record",""
" Sep 26","Falsely said Clinton was uttering “lies” when she said he had said nuclear war in East Asia would be “fine,” and that he had said “have a good time, folks.”","Said he did not say or do something he said or did","In Wisconsin in April, Trump said he was fine with Japan obtaining nuclear weapons for a war against North Korea, and added: “It would be a terrible thing but if they do, they do . . . Good luck. Enjoy yourself, folks.”","Trump's record",""
" Sep 26","Falsely denied that he has been “praiseworthy of Vladimir Putin.”","Said he did not say or do something he said or did","Trump has praised Putin repeatedly, even calling him a superior leader to Obama.","Trump's record",""
" Sep 26","Falsely said “wrong, wrong” when Clinton told him, “You even at one time suggested that you would try to negotiate down the national debt of the United States.”","Said he did not say or do something he said or did","While he quickly backtracked from this May suggestion, he did make it at one time.","Trump's record",""
" Sep 26","Falsely claimed, on the “birther” conspiracy, that “nobody was pressing it” after 2011.","Said he did not say or do something he said or did","Trump repeatedly tweeted and spoke about the subject in the following years. In 2013, for example, he tweeted, “How amazing, the State Health Director who verified copies of Obama’s “birth certificate” died in plane crash today. All others lived.”","Trump's record",""
" Sep 28","Falsely claimed that he predicted the result of the “Brexit” referendum “two days before” the vote.","Said he did not say or do something he said or did","In that Fox Business interview, he supported Brexit but didn’t predict it — and said, “I don’t think anybody should listen to me because I haven’t really focused on it very much.”","Trump's record",""
" Oct 9","Falsely said about his tweet about Alicia Machado: “No, there wasn’t ‘’check out a sex tape.’”","Said he did not say or do something he said or did","That is precisely what Trump wrote, just over a week ago: “Check out sex tape.”","Trump's record",""
" Oct 19","Falsely said, of his comments on more countries getting nuclear weapons, “There’s no quote. You’re not going to find a quote from me,” and “I didn’t say nuclear.”","Said he did not say or do something he said or did","There is a quote, and Trump said nuclear. In a March town hall on CNN, he said, among other things, “Now, wouldn’t you rather, in a certain sense, have Japan have nuclear weapons when North Korea has nuclear weapons?”","Trump's record",""
" Oct 19","Falsely said “wrong” to Clinton’s statement that he “mocked and mimicked” a reporter with a disability.","Said he did not say or do something he said or did","He did precisely that, on video.","Trump's record",""
" Oct 19","Falsely said “I did not say that” when Clinton noted he has, at rallies, said he did not sexually assault women “because they were not attractive enough for them to be assaulted.”","Said he did not say or do something he said or did","Trump did not say those precise words, but he made such claims repeatedly in the last week and a half – saying “Look at her” of one accuser and “She would not be my first choice” of another.","Trump's record",""
" Oct 25","Falsely described his 2010 views on Obamacare: “And you remember, I called that from before it was approved. I said, ""This can't work, because it's just...The plan is no good. The concept is no good.” And “I think it’s a disaster, and I’ve been saying it from the time before they even voted for it. I said this is a plan can’t work, it’s going to be a disaster.’”","Said he did not say or do something he said or did","Trump was considerably more ambivalent at the time. In an interview the very day Congress passed the law, he said he was “really torn,” that Obama was “certainly looking like a hero,” and that “something had to be done” about the number of uninsured people.","Trump's record",""
" Sep 26","Falsely said of his tax returns, “I don't mind releasing. I'm under a routine audit. And it'll be released. And as soon as the audit's finished, it will be released.”","Trump can't release tax returns under audit","Trump is also refusing to release tax returns from 2002 to 2008, years his lawyer says are no longer under audit. One of his sons has acknowledged that he is not releasing the returns because it would hurt his political “narrative.”","Trump's record",""
" Oct 19","Falsely said of the Trump Foundation, “I contribute.”","Trump Foundation support","Trump has not contributed at all to his foundation since 2008.","Trump's record",""
" Oct 19","Falsely said “No” when asked if some Trump Foundation money was used to settle lawsuits.","Trump Foundation was not used to settle lawsuits","Trump used $258,000 for that purpose, Fahrenthold has reported. Trump conceded the point, though not explicitly, moments later in the debate.","Trump's record",""
" Sep 26","Falsely said, “My father gave me a very small loan in 1975, and I built it into a company that's worth many, many billions of dollars.”","Trump got a small loan from his father","Trump is greatly understating his father’s help. The loan, he has previously said, was $1 million. Journalists have discovered that he actually received $14 million in loans from his father as he started his career.","Trump's record",""
" Sep 26","Falsely said he had four business bankruptcies.","Trump had four bankruptcies","Clinton was correct — it’s six.","Trump's record",""
" Sep 25","Falsely said, “I think that the most respected economists are on my side, to be honest with you.”","Trump has economists' support","Few if any top economists are supporting Trump, certainly not most. For example, the Wall Street Journal found in August that Trump does not have the support of a single member of the Council of Economic Advisers dating back a half-century. While a group of economists “concerned by Hillary Clinton’s economic agenda” have signed a joint letter, they are not endorsing Trump; the most prominent signatory, Nobel Prize winner Eugene Fama, told the Star, “I don’t support either. Both are big government types.” Another signatory, Charles Calorimis, said, “I am an undecided voter.”","Trump's record",""
" Oct 9","Falsely said he was “pretty much self-funding” his campaign.","Trump is self-funding","This was not true even early in the primaries, but especially not now. Trump has accepted tens of millions in donations from others.","Trump's record",""
" Sep 26","Falsely said he “never said” that pregnancy is an inconvenience to employers.","Trump said pregnancy is an inconvenience","In 2004, he said precisely that: pregnancy is ""a wonderful thing for the woman, it's a wonderful thing for the husband, it's certainly an inconvenience for a business. And whether people want to say that or not, the fact is it is an inconvenience for a person that is running a business.""","Trump's record",""
" Oct 24","Falsely said, “New Hampshire was my first win. Then I went on to win 42 states.”","Trump won 42 states","Trump won 36 states in the Republican primary.","Trump's record",""
" Oct 15","Falsely said, “Remember when, in Massachusetts, I got almost 50 per cent of the vote with 11 people. I got 49.7 per cent of the vote.”","Trump won Massechusetts against 11","Trump got 49.3 per cent of the vote. Though the names of more than 11 people were on the ballot, he is wrong to suggest he got 50 per cent actually running against 10 others — there were only five still running at the time of the Massachusetts primary.","Trump's record",""
" Sep 26","Falsely said, “As far as my tax returns, you don't learn that much from tax returns. That I can tell you. You learn a lot from financial disclosure.”","Trump's tax returns don't matter","Tax returns provide several additional kinds of detailed information.","Trump's record",""
" Sep 19","Falsely claimed that Al Wilson wrote the song “The Snake” in the 1990s.","Al Wilson wrote The Snake","Wilson recorded it in the 1960s; it was written by Oscar Brown Jr. earlier in the 1960s.","WTF",""
" Oct 1","Falsely said the New York Times “illegally obtained” his tax information.","Falsely described media bias","A reporter simply opened her mail; the documents were sent to her.","WTF",""
" Oct 15","Falsely said on Twitter, “The failing NYTimes reporters don’t even call us anymore, they just write whatever they want to write, making up sources along the way!”","Falsely described media bias","The New York Times contacts Trump’s campaign for comment on all of its stories about his behaviour.","WTF",""
" Oct 24","Falsely said of the New York Times, “The Times is going to be out of business pretty soon.”","Falsely described media bias","There is no indication this is even close to true.","WTF",""
" Oct 19","Falsely said, “Justice Ginsburg made some very, very inappropriate statements toward me and toward a tremendous number of people, many, many millions of people that I represent.”","Ginsburg criticized Trump's supporters","Ginsburg criticized Trump, but not his supporters.","WTF",""
" Oct 21","Falsely said of India’s economic growth, “India has 8 per cent — that’s considered bad for them.”","India growth is slow","India’s growth is considered fast, not bad. “In India, GDP growth will remain strong at 7.6 per cent in 2016 and 7.7 per cent in 2017, supported by expectations of a rebound in agriculture, civil service pay reforms supporting consumption, increasingly positive contributions from exports and a recovery of private investment in the medium term,” the World Bank wrote in a report earlier this month.","WTF",""
" Oct 18","Falsely said of John McCain, “I hear he’s doing badly since he unendorsed (Trump).”","McCain is doing badly","There is no evidence of this. A poll released Wednesday, taken after McCain’s unendorsement, showed him up 10 points.","WTF",""
" Oct 5","Falsely explained the pronunciation of Nevada: “Nobody says it the other way. It has to be Nev-AHH-da.”","Nev-AHH-da","As numerous Nevada media outlets pointed out, most people use Nev-ADD-a.","WTF",""
" Sep 15","Falsely called Flint pastor who interrupted his criticism of Clinton a “nervous mess”","One off","The pastor appeared calm.","WTF",""
" Sep 15","Falsely said the church crowd was saying ""let him speak”","One off","It wasn't.","WTF",""
" Sep 15","Falsely suggested he had been set up by the pastor: “Something was up”","One off","There is no evidence of this.","WTF",""
" Oct 19","Falsely said, of “inner cities”: “You get shot walking to the store. They have no education. They have no jobs.”","Exaggerated black unemployment/Exaggerated violence in U.S. cities","Many of America’s urban cores are thriving. Trump appears to use the phrase “inner cities” to describe poor black neighbourhoods, though most black Americans in metro areas live in the suburbs, but he is still wrong; there are, of course, educated and employed people even in low-income black communities.","African Americans/inner cities",""
" Sep 16","Falsely claimed the room he was speaking in was “100 degrees”","One off","It wasn't.","WTF",""
" Sep 19","Falsely called NBC anchor Lester Holt, the moderator of the first debate, “a Democrat.”","One off","He has been a registered Republican since 2003, Time magazine reports","WTF",""
" Sep 21","Falsely said Lyndon Johnson put forward his “Johnson Amendment” in 1954 “because he didn’t get along with a certain church, they say, in Houston. Because the pastor was maybe against him, maybe not with him.”","One off","Johnson’s opponents were two right-wing anti-Communist groups, not churches; one was founded by an oil billionaire, one by a newspaper magnate. Neither was based in Houston.","WTF",""
" Sep 24","Falsely said the museum that opened today is called ""the Smithsonian National Museum of American History African-American Art.""","One off","This seems more like a slip than a false claim, but the new Smithsonian is called the National Museum of African American History and Culture.","WTF",""
" Oct 9","Falsely said, of his hotel development in a historic building near the White House, “The United States government, because of my balance sheet, which they actually know very well, chose me to do the Old Post Office…one of the primary area things, in fact, perhaps the primary thing was balance sheet.”","One off","Trump did not win the project primarily because the government approved of his balance sheet, numerous news stories from the time of the decision make clear.","WTF",""
" Oct 23","Falsely said of John Kerry, “The only time he walked was to be in a bicycle race where he fell and broke his leg.”","One off","Kerry was not in a bicycle race when he broke his leg. He was simply cycling.","WTF",""
" Oct 24","Falsely said, of the Veterans Health Association, “In Phoenix, they had people who got caught stealing and they couldn’t fire them. They’re going through a process right now.”","One off","The Phoenix scandal was not about theft but about wait times for care, falsified records and retribution. Though many critics say it should be easier to fire executives in such cases, and there is a legal and political battle over a law that would allow this to happen, Phoenix employees were indeed fired.","WTF",""
" Oct 24","Falsely tweeted, “Why has nobody asked Kaine about the horrible views emanated on WikiLeaks about Catholics? Media in the tank for Clinton but Trump will win!”","One off","Democratic vice-presidential candidate Tim Kaine was asked in various interviews about Clinton aides’ comments about Catholics.","WTF",""
" Oct 25","Falsely said, of General James Cartwright, “You’ll have generals who are going to jail for five years.”","One off","Under Cartwright’s guilty plea for lying to the FBI about his conversations with reporters about Iran’s nuclear program, the government and defense have agreed to a sentence of up to six months in jail. While the judge can reject this agreement and go up to five years, it is highly unlikely he will do so.","WTF",""
" Sep 26","Falsely called Palm Beach, Florida “probably the wealthiest community there is in the world.”","Palm Beach is the wealthiest community","Palm Beach is not even the wealthiest community in America, let alone the world. The Palm Beach Post put it at number three in the country; other rankings, with different measures of wealth, have it lower.","WTF",""
" Sep 21","Falsely said of a pastor, “He’s not allowed to talk politics. If he does, they take away his tax exemption.”","Pastors can't tall politics","Pastors are permitted to “talk politics” as much as they want, and they can opine and advocate on hot-button issues; under the Johnson Amendment, they are prohibited from endorsing or opposing candidates.","WTF",""
" Sep 25","Falsely said, on the subject of “banning” particular journalists from presidential events: “No, I don’t see that, but a lot of people have done it, and a lot of people, a lot of different businesses have done it.”","Presidents have banned journalists","While Richard Nixon mused about banning a L.A. Times journalist he disliked, he did not. Nor is there evidence that “a lot” of major companies have done so.","WTF",""
" Oct 25","Falsely said, “They said Romney had crowds, but the truth is he had one crowd, one big crowd the last day.”","Romney didn't draw crowds","Romney drew numerous big crowds in the last month of the election. Wrote Politico in Oct. 2012: “In the past week alone, Romney’s campaign says at least three of its rallies have, per the campaign’s crowd counts, exceeded 10,000 people: an Oct. 4 event with country singer Trace Adkins in Fishersville, Va., which was Romney’s largest event ever at 14,000 people; a rally last Sunday in Port St. Lucie, Fla., that drew 12,000; and one in Cuyahoga Falls, Ohio, that fire marshals estimated also drew 12,000.”","WTF",""
" Oct 24","Falsely said, of an allegation that he violated the trade embargo with Cuba, “I mean, I’m hearing this for the first time but I’ll check that.”","Said he did not say or do something he said or did","Trump was asked about this very subject the day prior, and his senior aides have been asked since the story came out in September.","WTF",""
" Sep 28","Falsely said, “Now they’re calling me Mr. Brexit.”","They call him ""Mr. Brexit""","Nobody of consequence, or perhaps nobody at all, is calling him this.","WTF",""
" Sep 22","Falsely claimed there were ""people outside by the thousands"" at his rally in Pennsylvania.","Thousands in line outside","Wrote BuzzFeed's John Stanton, who was there: “There are, in fact, no people outside.”","WTF",""
" Oct 9","Falsely said, “Just today policeman were shot — two, killed.”","Two officers shot ""today""","Two officers were shot and killed the day before the debate, not that day.","WTF",""
" Oct 25","Falsely said of wind turbines near Palm Springs, California: “They have all these different companies and each one is made by a different group from, all from China and from Germany, by the way – not from here.”","Wind farms are all made overseas","When Trump made the made-in-China claim in 2012, a local news station quoted a local expert who said, “The first generation turbines we have here are made in Denmark, those right behind us are the new ones, 1.5 megawatt units made in the United Sates.” They are certainly not “all from China and from Germany.”","WTF",""
" Oct 25","Falsely said of wind turbines near Palm Springs, California: “And you look at all these windmills. Half of them are broken. They’re rusting and rotting. You know, you’re driving into Palm Springs, California, and it looks like a poor man’s version of Disneyland. It’s the worst thing you’ve ever seen.”","Wind farms are broken","This claim would have been true decades ago but isn’t any longer. Authorities removed 1,000 old turbines by 1998. While there are still some that don’t work, it is not half.","WTF",""
" Oct 25","Falsely said of the wind farm in the area of Palm Springs, California: “And it kills all the birds. I don’t know if you know that…Thousands of birds are lying on the ground. And the eagle.”","Wind farms kill thousands of eagles","One study found two eagle deaths at this site in 20 years, the last in 1997. Experts said there are not thousands of birds lying on the ground. “Not in Palm Springs,” ornithologist K. Shawn Smallwood said of Trump’s claims in an interview. “Palm Springs is pretty low-impact on birds.”","WTF",""
" Oct 30","Falsely said of Hillary Clinton’s handling of convicted illegal immigrants whose home countries would not accept their return: “She would always let them come back (to America). She didn’t want to make waves.”","Clinton brought back criminal deportees","These immigrants were not actually sent to their refusing home countries; they were simply released from prison in the U.S. This was not Clinton’s personal choice: a 2001 Supreme Court decision requires their eventual release if they can’t be deported.","Clinton's record",""
" Oct 31","Falsely described Clinton’s role in the release of illegal immigrants convicted of crimes: “And they bring these people back to their countries and thee countries very intelligently, they said, ‘No we don’t want a murderer, no we don’t want a drug dealer, no we don’t want the head of a gang in Los Angeles.’ They call up the secretary of state’s office. They say, ‘Oh that’s OK, bring them back.’ So we release them right into our country.”","Clinton brought back criminal deportees","This is false in several ways. These immigrants are never actually sent back to countries that refuse to take them; they are eventually released from U.S. prisons. The secretary of state’s office is not called about the releases, nor did Clinton have a choice: a 2001 Supreme Court decision requires their eventual release if they can’t be deported.","Clinton's record",""
" Nov 1","Falsely said, “As secretary of state, Hillary Clinton allowed thousands of the most dangerous and violent criminal aliens to go free because their home countries very intelligently would not take them back. They don’t want to take back murderers, drug lords, gang members. They say no. And let me just tell you something, they would bring them to their country, their country would say ‘no, get ‘em out, bring ‘em back to the United States where your leaders are stupid people.’”","Clinton brought back criminal deportees","This is false in multiple ways. These immigrants are not actually sent back to countries that refuse to take them; they are eventually released from U.S. prisons. It was not Clinton’s decision to let them go: a 2001 Supreme Court decision requires their eventual release if they can’t be deported.","Clinton's record",""
" Oct 31","Falsely said, “Donna Brazile was fired from the network for giving Crooked Hillary the answers and questions to a debate.”","Clinton gets debate questions in advance","There are is no such thing as “answers to a debate.”","The campaign",""
" Oct 31","Falsely said of the disparity in advertising spending, “In Florida it’s 50 to 1.”","Clinton has outspent him 50 to 1 on ads","There was a September article that said Clinton was “slated” to outspend him 53 to 1 in Florida, but this is not actually happening. CNN reported on Oct. 18 that Clinton had spent $43 million in Florida, Trump about $12 million, a ratio of less than 4 to 1.","The campaign",""
" Oct 30","Falsely said, “It was publicly reported that sources close to Hillary Clinton said, and she actually I think said it to the papers, that she was thinking of reappointing Attorney General Lynch. She was thinking. She said it. I mean, it was a statement she made . . . she said it publicly, I believe.”","Clinton said she'd retain AG lynch","The first part is true — a Times story in July said that “Democrats close to Mrs. Clinton say she may decide to retain Ms. Lynch” — but the second part is not. Clinton did not say this publicly; it was not a “statement she made.”","The Clintons' ""corruption""",""
" Oct 30","Falsely said, “Hillary Clinton said the veterans’ administration is doing just fine.”","Clinton said the VET is fine","This is an exaggeration. Clinton said the problems at the VA had “not been as widespread as it has been made out to be,” but she did not say it was “fine.” She went on in the same interview to acknowledge problems and suggest how to improve them.","Clinton's record",""
" Oct 30","Falsely said of Clinton’s email deletion, “Did anybody ever hear of bleaching? You know why? It’s such an expensive process.”","Clinton used an ""expensive"" program to clean emails","Trump uses “bleaching” to refer to Clinton aides’ use of a software program called BleachBit, which is free.","The Clintons' ""corruption""",""
" Oct 30","Falsely said Clinton wants “virtually unlimited immigration from the most dangerous regions in the world.”","Clinton wants ""open borders""","Clinton is calling for no such thing.","Clinton's policies",""
" Oct 31","Falsely said Clinton “wants open borders in the Middle East . . . she wants the Middle East to pour into our country.”","Clinton wants ""open borders""","Clinton is not proposing anything of the sort.","Clinton's policies",""
" Oct 30","Falsely said under Clinton’s plan, “We could have 600 million people pour into our country.”","Clinton wants 620,000 refugees","While anything “could” happen, there is no basis for this huge number, nearly double the current U.S. population.","Clinton's policies",""
" Oct 30","Falsely said, “You could have 650 million people pour in and we do nothing . . . that’s what could happen. You could triple the size of our country in one week.”","Clinton wants 620,000 refugees","While anything “could” happen, there is no basis for this huge number, nearly double the current U.S. population.","Clinton's policies",""
" Oct 31","Falsely said of Barack Obama’s $3 billion funding commitment to the UN’s climate change program, “It’s insane — a number that Hillary wants to actually increase.”","Clinton wants to increase climate spending","Clinton has never said she wants an increase, her campaign confirmed Wednesday.","Clinton's policies",""
" Oct 30","Falsely said of the U.S. troop withdrawal from Iraq, “It left a vacuum, and from that vacuum, ISIS formed.”","Daesh ""formed"" under Clinton and Obama","The complete troop withdrawal happened in 2011. The group has roots as far back as 1999, and it was already using the name Islamic State by 2006.","Daesh/Middle east",""
" Oct 31","Falsely said of Hillary Clinton: “She created the vacuum, ISIS formed . . . there was no ISIS when she was secretary of state. She and Obama created it through the vacuum they created.”","Daesh ""formed"" under Clinton and Obama","ISIS has existed in some form since 1999; it was already a major entity during the Bush presidency. It named itself Islamic State of Iraq in 2006, more than two years before Clinton took office.","Daesh/Middle east",""
" Oct 30","Falsely said, “We’ve received the first-ever endorsement from ICE.”","Endorsed by ICE","ICE, a government agency called Immigration and Customs Enforcement, does not endorse candidates. Trump received an endorsement from a union of ICE employees, not the agency itself.","Trump's endorsements",""
" Oct 31","Falsely said of a 700-mile border fence proposed in 2006, “You know why they didn’t build it? They couldn’t get their environmental impact statements.”","Environmental regs killed the wall","Environmental impact statements were not an issue here: the secretary of Homeland Security used his powers to waive the usual environmental review. “In a sweeping use of its authority, the Department of Homeland Security said Tuesday that it would bypass environmental reviews to speed construction of fencing along the Mexican border,” the New York Times reported in 2008. “It’s simply false that environmental requirements or issues impeded wall construction,” Denise Gilman, director of the immigration clinic at the University of Texas School of Law, told Politifact.","WTF",""
" Oct 30","Falsely said of illegal immigrants, “This crime wave will end.”","Exaggerated illegal immigrant crimes","Repeated at another rally later in the day. There is no wave of crime by illegal immigrants. Trump merely cited two anecdotes.","Refugees/Immigration",""
" Oct 31","Falsely said, “GM laid off 314 workers at the Lake Orion assembly plant in 2013 because of the imports from the South Korean trade deals that were pushed by Hillary. That was her baby.”","Exaggerated job losses under Obama/NAFTA","The Lake Orion plant was actually making a car, the Chevrolet Sonic, whose earlier version had previously been made in South Korea. “The Sonic used to be made in South Korea as the Aveo. Now they design it, it’s built in Lake Orion, and the president was able to point to it as an example of two countries working together,” a local news station reported in 2011, when Obama and South Korea’s president visited. GM has since laid off hundreds of workers there, but because of poor sales, not South Korea.","Obama's record",""
" Oct 31","Falsely said, “Before NAFTA went into effect there were 280,000 autoworkers in Michigan. Today that number is only 160,000 and, believe me, it’s going down and going down fast.”","Exaggerated job losses under Obama/NAFTA","He repeated this claim at his second rally on Monday. Writes The Associated Press: “Michigan actually added jobs after the North American Free Trade Agreement began in 1994, when auto-manufacturing and auto-parts plants employed roughly 280,000 workers. Over the next six years, their ranks increased to 320,000. The decline only occurred after the tech bubble burst and U.S. automakers lost market share among U.S. consumers.” It is not “going down” — the Detroit Free Press reports that auto jobs have increased sharply since the crash: “Since the rescue of General Motors and Chrysler in 2008-09, auto manufacturing jobs in Michigan have grown from 22,800 to 38,200 and auto parts jobs also have grown, from 73,400 to 162,800.”","Obama's record",""
" Oct 31","Falsely said, “We have nearly $800 billion in annual trade deficits with the world.”","Exaggerated the trade deficit","Repeated at his second rally. The U.S. trade deficit was $532 billion in 2015. It was $746 billion only if you exclude trade in services, at which the U.S. excels. Trump sometimes specifies that he is talking only about goods, but he did not here.","Trade/economy",""
" Nov 1","Falsely said of Clinton, “She wants to put the government totally in charge of healthcare in America.” ","Falsely described Clinton's healthcare plan","She is not proposing this.","Health care",""
" Oct 30","Falsely said, “She also wants to raise your taxes through the roof.”","Falsely described Clinton's tax plan","This would only be a fair argument if he was speaking to an audience of rich people. Clinton is only raising taxes on the highest earners. The Tax Policy Center says most residents below the top 1 per cent will receive minor tax cuts under her plan, and even most of the highest earners will not see a doubling.","Clinton's policies",""
" Oct 30","Falsely said, “Hillary wants to raise your taxes to almost 50 per cent.”","Falsely described Clinton's tax plan","Again, this is only close to true for rich people. Under Clinton’s plan, only people making more than $5 million a year would face a top marginal rate of, effectively, 44 per cent. People below the top 1 per cent will see only minor changes.","Clinton's policies",""
" Oct 30","Falsely said, “Hillary Clinton on the other hand is going to raise your taxes by almost 50 per cent.”","Falsely described Clinton's tax plan","There is no basis for this claim.","Clinton's policies",""
" Oct 31","Falsely said, “She is going to raise taxes. Hillary is going to raise your taxes up to almost 50 per cent, by the way.”","Falsely described Clinton's tax plan","This is only close to true for rich people. Under Clinton’s plan, only people making more than $5 million a year would face a top marginal rate of, effectively, 44 per cent. People below the top 1 per cent will see only minor changes.","Clinton's policies",""
" Nov 1","Falsely said Clinton “is going to raise your taxes substantially.”","Falsely described Clinton's tax plan","This would only be true if Trump were speaking to an audience of rich people. Clinton is only raising taxes on the highest earners. The Tax Policy Center says most residents below the top 1 per cent will receive minor tax cuts under her plan.","Clinton's policies",""
" Oct 30","Falsely said, “Wow, Twitter, Google and Facebook are burying the FBI criminal investigation of Clinton.”","Falsely described media bias","There is no good evidence for this claim.","Rigged election",""
" Oct 31","Falsely said of hacked John Podesta emails, “Another one came in today where various networks, a lot of them, were sending stories . . . ‘what do you want us to say here what do you want us to say there? What should we do here? What should we do there?’ Do you believe it?”","Falsely described media bias","There is no new email showing multiple television networks asking for direction from the Clinton campaign.","Rigged election",""
" Nov 1","Falsely said of Obamacare, “Here in Pennsylvania premiums are going to increase more than 60 per cent.” ","Falsely described Obamacare","Pennsylvanians will see major premium hikes, but not that big: “Premiums for Pennsylvanians who buy individual coverage from the Obamacare online marketplace will rise by an average of 33 percent, according to 2017 rates just approved by the Pennsylvania Insurance Department. Premiums for small group plans will rise by 7.1 percent,” PennLive.com reported in late October. According to a federal report later in October, the average benchmark price for a 27-year-old is rising 53 per cent — as vice-presidential candidate Mike Pence noted at the same event.","Health care",""
" Nov 1","Falsely said of Obamacare, “In many instances their health care costs are more than their mortgage costs or their rent. Which by the way is a first in American history.”","Falsely described Obamacare","He repeated this claim at his second event of the day. While some people have higher health care costs than housing costs, this was not true on average in 2015, according to Politifact: “Health care: $4,342. Rent: $10,005. Mortgage interest without principal: $8,169.” It is also incorrect that the U.S. is seeing some sort of historic first, though it is not exactly clear what he was saying, and total health spending has for years exceeded total housing spending.","Health care",""
" Nov 1","Falsely said while discussing Obamacare, “Hiring is frozen, totally frozen.”","Falsely described Obamacare","The U.S. is experiencing steady job growth and has added 15 million jobs since Obamacare passed, Politico health writer Dan Diamond noted on Twitter.","Health care",""
" Oct 30","Falsely said, “We have a trade deficit with China (of) almost $500 billion a year.”","Falsely described trade with China","Even excluding services trade, the trade deficit with China was $367 billion last year. This year, it was $225 billion through August.","Trade/economy",""
" Oct 30","Falsely said, “We owe China $1.5 trillion.”","Falsely described trade with China","This is an exaggeration; it is closer to $1.1 trillion. “The biggest foreign holder of U.S. government debt had $1.19 trillion in bonds, notes and bills in August, down $33.7 billion from the prior month, the biggest drop since 2013,” Bloomberg reported in October.","Trade/economy",""
" Oct 30","Falsely said of Florida’s early voting, “They’ve never had lines before (the Trump campaign came along).”","Florida never had lines","Florida has indeed had long lines for early voting in past elections. One 2012 headline read, “Florida Early Voting Fiasco: Voters Wait For Hours At Polls As Rick Scott Refuses To Budge.”","Rigged election",""
" Oct 30","Falsely said of Iran, “Their $150 billion payment started the next day.”","Iran deal was a giveaway","Said at another rally later in the day: “We can’t continue to make deals like that horrible Iran deal where we give them $150 billion back.” The nuclear deal with Iran did not involve a $150 billion payment; rather, a smaller amount of Iranian assets were unfrozen. The Treasury Department told Congress in 2015 that total Iranian assets were estimated at $100 billion to $125 billion; it put the “usable liquid assets” at around $50 billion. Secretary of State John Kerry said Iran would get about $55 billion.","Daesh/Middle east",""
" Oct 31","Falsely said, “We give Iran back $150 billion.”","Iran deal was a giveaway","The nuclear deal with Iran did not involve a $150 billion payment; rather, a smaller amount of Iranian assets were unfrozen. The Treasury Department told Congress in 2015 that total Iranian assets were estimated at $100 billion to $125 billion; it put the “usable liquid assets” at around $50 billion. Secretary of State John Kerry said Iran would get about $55 billion.","Daesh/Middle east",""
" Oct 31","Falsely said of Mexico, “They’re on a VAT system; we’re on our system. Well there’s . . . almost a 17 per cent difference. So every deal we make, we are behind 17 per cent before we even start. People have known that for years and years and years and it’s a defective deal.”","Mexico's VAT is a trade barrier","Mexico’s value-added tax does not put the US “behind” in trade. It applies both to products imported to Mexico and products made in Mexico. “He was implying that it’s a trade barrier, and it’s just not,” Alan Deardorff, economics professor at the University of Michigan, told CNN in September. “A VAT does not favor one country’s producers over another’s. Trump’s claim that Mexico’s VAT gives its producers an advantage over American competitors is simply wrong,” Tax Policy Center expert Eric Toder wrote.","Trade/economy",""
